1751048,1517280359
1751067,1411863586
18125030,6127933389
18125048,2325654135
20125004,2134521233
20125005,2455324651
20125006,3245634241
20125007,9325432411
20125009,2342952431
20125010,1233245324
20125011,9234291512
20125012,2341411112
20125014,2345632121
20125015,2342146101
20125017,1239123911
20125019,2131214524
20125021,2958341241
20125023,2344651241
20125025,9534185493
20125027,6435143932
20125029,2934919321
20125031,2131304123
20125032,3242141011
20125033,2416543231
20125034,4123544011
20125038,1923852481
20125039,9234810134
20125040,2341201031
20125046,2349123941
20125048,3249245191
20125052,3419234102
20125054,9234100321
20125058,1423412342
20125059,3412348128
20125060,3941328412
20125067,3249121113
20125068,9219312931
20125069,2934123841
20125081,9324184212
20125090,1234271112
20125101,2342134267
20125102,5674675745
20125106,4358643852
20125111,4358101015
20125117,4392191231
20125124,9241239412
20125126,2341238422
20125127,9423412342
20125129,3241346753
1751098,2234234112
1751105,3241343124
18125051,2424543242
18125071,2342134123
20125020,7868585686
20125022,8675435324
20125028,6435432112
20125030,5432532456
20125044,5432564673
20125047,4231543675
20125049,7564356453
20125051,5324523452
20125053,4321453467
20125055,4213453675
20125061,6734555423
20125070,6543227886
20125071,7853424311
20125074,5342643421
20125075,8764534311
20125076,7645362453
20125077,7654412314
20125086,6523423413
20125087,6756673456
20125088,4213543643
20125089,5632534213
20125091,4231453678
20125092,3241652143
20125094,4235632513
20125096,6235413212
20125097,4231421345
20125098,4513425321
20125099,3241412344
20125100,4234653221
20125104,7546323121
20125105,5345243554
20125107,5634213412
20125108,5763465245
20125109,3214356764
20125110,3421135467
20125112,7674578547
20125113,6453621211
20125114,4352542353
20125115,5324657634
20125116,5325214213
20125119,20125119
20125121,4123423766
20125122,7654756756
20125123,7546742311
20125125,2351453621
20125128,5145152764
20125130,7643756312
18125102,5734654313
