1,1751048,Khuu ,An,Male,3/1/1999,281275040
2,1751067,Nguyen , Hieu,Male,1/11/1999,281275041
3,18125030,Phan,Triet,Male,11/1/2000,281275043
4,18125048,Nguyen,Duy,Male,1/5/2000,283275040
5,20125004,Hoang,Hiep,Male,1/1/2002,211275040
6,20125005,Le , Hiep,Male,22/01/2002,211275044
7,20125006,Nguyen ,Khang,Male,1/5/2002,283275040
8,20125007,Nguyen, Khoa,Male,1/8/2002,283275044
9,20125009,Ta ,Khe,Male,1/12/2002,283275042
10,20125010,Tran ,Loi,Male,1/11/2002,283275049
11,20125011,Nguyen , Long,Male,29/01/2002,211275040
12,20125012,Nguyen , Manh,Male,21/01/2002,123456789
13,20125014,Thai , Nhat,Male,11/1/2002,221275040
14,20125015,Nguyen , Phu,Male,23/01/2002,123456789
